codigo;Atencao;Alerta;Inunda
13439000;;;
13450000;1000;1130;1250
13470000;880;980;1140
13540000;;;
13550000;1150;1250;1340
13568000;;;
13572000;;;
13578000;;;
13600002;1250;1350;1400
42210000;;;
41135000;;280;310
44200000;;640;750
43200000;;700;780
15400000;1400;1500;1700
15318000;;;
15250000;;1020;1110
77150000;;;
76900000;;;
75780000;;;
50080000;;;
50169500;;;
50191000;;;
50595000;;;
50660000;;;
50785000;;;
50795000;;;
51240000;;;
51280000;;;
51890000;;;
53470000;;;
53460500;;;
53880000;;;
53780000;;;
53630000;;;
53620000;;;
53540001;;;
53950000;;;
14710000;800;850;900
14620000;750;800;850
14527000;;;
14495000;;;
14680001;;;
14528000;;;
14515000;;;
14489000;;;
14530000;;;
14690000;;;
58940000;;;
58960000;300;500;750
58790002;;;
58792100;;;
48020000;;;
48290000;;;
48395000;;;
48395500;;;
48590000;;;
48699000;;;
49330000;;;
49370000;;;
49660000;;;
49705000;;;
49740000;;;
49775000;;;
48270000;;;
48520000;;;
48561000;;;
49030000;;;
49031000;;;
49040000;;;
49041000;;;
49050000;;;
49205000;;;
49210000;;;
49310000;;;
41818000;540;640;745
41990000;;;
42690001;;978;
42980000;;810;
44290003;;680;760
44500000;;900;
44940000;;;
45298000;;931;
45131000;;330;
45480000;;900;
45960001;;548;
46360000;;;
46998000;;760;
46902000;;425;
49705000;;;400
56850000;300;320;360
56994500;460;530;580
76750000;750;850;970
